platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DP5gcZyk9MV_c0,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.4338,0.0,
instagram,comment,DP5gcZyk9MV_c1,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,"Hi sir, I am Kavin,",,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.56,0.0,
instagram,comment,DP5gcZyk9MV_c2,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.4005,0.0,
instagram,comment,DP5gcZyk9MV_c3,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.6627,0.0,
instagram,comment,DP5gcZyk9MV_c4,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,ranjan___dehati__77,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.4339,0.0,
instagram,comment,DP5gcZyk9MV_c5,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,"Our only hope is you to take action for this, our support is only for you.",,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,positive,0.6941,0.0,
instagram,comment,DP5gcZyk9MV_c6,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,mr_smash__selva,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.5996,0.0,
instagram,comment,DP5gcZyk9MV_c7,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,thooranthamaraiselvan,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,negative,0.3595,0.0,
instagram,comment,DP5gcZyk9MV_c8,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.4064,0.0,
instagram,comment,DP5gcZyk9MV_c9,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,வாழ்த்துக்கள் மாமா 🙏🙏🙏🙏,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,positive,0.6994,0.0,
instagram,comment,DP5gcZyk9MV_c10,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.4551,0.0,
instagram,comment,DP5gcZyk9MV_c11,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,Big win of spv ana in 2026,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,positive,0.7718,0.0,
instagram,comment,DP5gcZyk9MV_c12,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,pk_kvg,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.5977,0.0,
instagram,comment,DP5gcZyk9MV_c13,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,vedalmano,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.3451,0.0,
instagram,comment,DP5gcZyk9MV_c14,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,kgunnikrishnan27,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.3846,0.0,
instagram,comment,DP5gcZyk9MV_c15,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,rajvasanthi_,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.3545,0.0,
instagram,comment,DP5gcZyk9MV_c16,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,❤️❤️❤️❤️🔥🔥🔥🔥🔥,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,positive,0.8525,0.0,
instagram,comment,DP5gcZyk9MV_c17,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,, 🎂✌️🌱. ,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,positive,0.5451,0.0,
instagram,comment,DP5gcZyk9MV_c18,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,neutral,0.8975,0.0,
instagram,comment,DP5gcZyk9MV_c19,DP5gcZyk9MV,https://www.instagram.com/spvelumanicbe/p/DP5gcZyk9MV/,unknown,,"The meeting conducted by Ruling party near sakthi college L&T bypass. I don't interfere the meeting and so. But for that meeting the transport bus arranged are all route buses, did you also know the rush at weekend. Acquiring all the route buses causes severe transport problem in weekends, so could you take this issue and try to resolve these kind of activities..!This is not first time occurring, last 2-3 meeting are same like this way...!",,,,,,,scrapling_instagram_profile,2026-04-07T01:24:20.560038,,False,negative,0.6651,0.0,
